date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:23	1408/1408	---M-Z	200	added ('OK')	text/html	etag:%22e14bb1e0720e69a27eb257e58e6669a1-ssl-df%22	https://mdnahidhasan.netlify.app/	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/index.html	(from )
13:16:23	67/67	---M--	200	added ('OK')	text/plain	etag:%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://mdnahidhasan.netlify.app/robots.txt		(from )
13:16:24	289924/289924	---M--	200	added ('OK')	image/png	etag:%22c5ef80b171481da071770e7af3e07f42-ssl%22	https://mdnahidhasan.netlify.app/fav.png	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/fav.png	(from https://mdnahidhasan.netlify.app/)
13:16:24	195/195	---M--	200	added ('OK')	application/json	etag:%22a16d190ebf04d358245b7ff4ad69568f-ssl%22	https://mdnahidhasan.netlify.app/manifest.json	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/manifest.json	(from https://mdnahidhasan.netlify.app/)
13:16:25	230820/230820	---MCZ	200	added ('OK')	application/javascript	etag:%22b8833c651b724419eebc9d6683615db2-ssl-df%22	https://mdnahidhasan.netlify.app/static/js/main.c6bcccc1.js	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/js/main.c6bcccc1.js	(from https://mdnahidhasan.netlify.app/)
13:16:25	323420/323420	---MCZ	200	added ('OK')	text/css	etag:%2207b180a59beb6567186638064db8e598-ssl-df%22	https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/css/main.6a6d9197.css	(from https://mdnahidhasan.netlify.app/)
13:16:26	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%22417faee1f204f5c1edf3113c233a0351-ssl%22	https://mdnahidhasan.netlify.app/static/media/remixicon.90668f6f9b3c2c18a090.woff2	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/remixicon.90668f6f9b3c2c18a090.woff2	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
13:16:27	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d0478231b898bb6d4c8d48c31100fcd5-ssl-df%22	https://mdnahidhasan.netlify.app/static/media/remixicon.5cb99e6cba5a4619063f.eot	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/remixicon.5cb99e6cba5a4619063f.eot	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
13:16:28	172876/172876	---MCZ	200	added ('OK')	application/font-woff	etag:%22ee00eae8eb1d402e5fe89636fc661790-ssl-df%22	https://mdnahidhasan.netlify.app/static/media/remixicon.8d09fa11700ed63cf96e.woff	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/remixicon.8d09fa11700ed63cf96e.woff	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
13:16:28	403056/403056	---M--	200	added ('OK')	font/ttf	etag:%22db7431a23600408877007605258c8603-ssl%22	https://mdnahidhasan.netlify.app/static/media/remixicon.f2616f597cf98f38d234.ttf	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/remixicon.f2616f597cf98f38d234.ttf	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
13:16:29	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:%222da2be43ba00a5388068a1c735766ad7-ssl-df%22	https://mdnahidhasan.netlify.app/static/media/remixicon.9cedd2150922ead84869.svg	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/remixicon.9cedd2150922ead84869.svg	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
13:16:30	289924/289924	---M--	200	added ('OK')	image/png	etag:%22c5ef80b171481da071770e7af3e07f42-ssl%22	https://mdnahidhasan.netlify.app/static/media/1.5a7a106e051c23b6e394.png	C:/My%20Web%20Sites/httpshttps___mdnahidhasan.netlify.app_dnahidhasan.netlify.app_/mdnahidhasan.netlify.app/static/media/1.5a7a106e051c23b6e394.png	(from https://mdnahidhasan.netlify.app/static/css/main.6a6d9197.css)
